Polish,English
tył,back
niechętnie,reluctantly
powód,reason
oddać,to give back
łóżko,bed
dowód,evidence
nieruchomo,motionless
opuścić,leave
ażeby,to
niespodziewanie,unexpectedly
wesoło,merrily
godzina,time
odkąd,since
któryś,one
okazać,show
krzesło,chair
któż,who
zdecydowanie,definitely
odległość,distance
mieszkanie,apartment
oba,both
policja,Police
cios,blow
odnaleźć,find
spokojny,calm
starzec,old man
przyjść,come
muzyka,music
nieustannie,continually
ogromny,huge
potrzebny,necessary
słusznie,rightly
działać,work
sens,meaning
okropnie,terribly
fala,wave
ciemno,dark
wolność,freedom
dusza,soul
ktokolwiek,anyone
wspomnienie,Flashback
błyskawicznie,instantly
dzieło,work
pozostać,stay
bynajmniej,not at all
wysokość,height
dym,smoke
kapelusz,hat
cichy,quiet
walka,fight
charakter,character
brać,to take
czuć,feel
uprzejmie,kindly
stopniowo,gradually
śniadanie,breakfast
pierś,breast
schody,stairs
gość,guest
oddział,branch
ponadto,Moreover
omal,almost
lada,counter
chory,sick
miły,nice
ponuro,gloomily
głęboki,deep
owo,that
wszakże,however
dyrektor,director
wino,wine
dowódca,commander
serdecznie,heartily
nisko,low
komuś,someone
kilkanaście,dozen
lud,people
wspaniale,excellent
frank,franc
babcia,grandmother
opowieść,story
zachowanie,behavior
wedle,according to
robota,job
nazwać,name
pusty,empty
grać,play
częściowo,partly
niebawem,soon
bezpośrednio,directly
stanowisko,position
lęk,bow
udać,go
imperium,empire
sygnał,signal
wygląd,appearance
krótki,short
wolny,free
pat,stalemate
przypadek,case
ciężki,heavy
spróbować,try
nauczyć,learn
rzucić,throw
rozumieć,understand
wejście,entry
trzej,three
pospiesznie,hurriedly
ostry,spicy
strażnik,guard
mistrz,master
prosić,ask
drobne,minor
spodziewać,expect
towarzystwo,company
opowiedzieć,tell
rad,rad
podnieść,pick up
okres,period
swobodnie,freely
dokonać,make
mózg,brain
jedzenie,food
chleb,bread
zwłoki,corpse
sierżant,sergeant
dach,roof
uciekać,run away
wszelki,any
koniecznie,necessarily
radio,radio
biedny,poor
para,couple
siedzieć,sit
proces,process
dostatecznie,enough
znad,from above
nieszczęście,misfortune
kot,cat
potężny,powerful
dosłownie,literally
młodzieniec,young man
ciężar,weight
okrzyk,exclamation
pragnienie,desire
zdrowie,health
niezależnie,independently
istota,being
skóra,skin
zauważyć,to notice
dwanaście,twelve
wódz,chief
służyć,serve
przeważnie,mostly
gospodarz,host
złapać,to catch
uważać,be careful
mowa,speech
mur,wall
nawzajem,Mutually
gest,gesture
ogromnie,extremely
mianowicie,namely
zwrócić,return
ucho,ear
wykorzystać,to use
brzuch,Belly
mrok,darkness
prowadzić,to lead
gruby,fat
sędzia,judge
zimny,cold
pozbyć,get rid of
się,myself
przedmiot,item
przeżyć,survive
sprzed,before
okręt,ship
dziewięć,nine
kochać,love
dojść,come
poradzić,help
obejrzeć,see
święty,holy
otwarcie,openly
papier,paper
bronić,defend
dwór,court
piwo,beer
kula,ball
słabo,poorly
skończyć,end
wszak,after all
tato,dad
wytłumaczyć,explain
święta,holidays
silnik,engine
samolot,plane
uwolnić,free
ptak,bird
ba,ba
niecierpliwie,impatiently
autor,author
zniszczyć,destroy
mgła,fog
sztuka,piece
poeta,poet
nastrój,mood
wygodnie,comfortably
budynek,building
niezmiernie,extremely
dno,bottom
ruszyć,move
skutek,effect
wpływ,influence
szum,noise
wasz,yours
winien,should
świeżo,freshly
napisać,write
tytuł,title
adres,address
pamiętać,remember
